Sequence, Start Point, Lat , Long , End Point, Lat, Long, Distance(mtr)
27,379(a7c1e68b063a47ddecf22f73ae56ba7f26c70e367905df3a15ae2045797dbd67),51.564764,-0.10553,498(d96b04a19cd24a4884c18a70abde935689d99e0c276ce330325518380289e912),51.568683,-0.108195,473.10521238236095
28,498(d96b04a19cd24a4884c18a70abde935689d99e0c276ce330325518380289e912),51.568683,-0.108195,122(37086f41d2f9ed6a382a6894ccb68c2cf205e0cadaa72501cd0c0d476981fc21),51.565977,-0.107658,303.1740624904872
29,122(37086f41d2f9ed6a382a6894ccb68c2cf205e0cadaa72501cd0c0d476981fc21),51.565977,-0.107658,387(ab65f6c60f83535dd296653be8123d81e389fc71408a3e0bec0660b6379a661b),51.552087,-0.115678,1640.9947938008604
30,387(ab65f6c60f83535dd296653be8123d81e389fc71408a3e0bec0660b6379a661b),51.552087,-0.115678,109(3025b3352b9e59e2210e7adda31521a0bc09da2ceec512f3c3f737280edf1a4e),51.54757,-0.11047,618.0201460365786
31,109(3025b3352b9e59e2210e7adda31521a0bc09da2ceec512f3c3f737280edf1a4e),51.54757,-0.11047,72(22d1bc519a037d1e9dbf95492cc8eee31199a5eab45d247dc5bfb907a84ffb25),51.547152,-0.105771,328.23635864743244
32,72(22d1bc519a037d1e9dbf95492cc8eee31199a5eab45d247dc5bfb907a84ffb25),51.547152,-0.105771,537(e80e0164725204fb143591795d93b12e662ca8e7c786099ca25749ce5d6198db),51.536473,-0.100995,1232.5310623122396
33,537(e80e0164725204fb143591795d93b12e662ca8e7c786099ca25749ce5d6198db),51.536473,-0.100995,21(a9293611b8386f5e57c70cc600c6a75bae053ed0dbaaefe07474c399c6bff1e),51.533392,-0.091246,756.3510982550108
34,21(a9293611b8386f5e57c70cc600c6a75bae053ed0dbaaefe07474c399c6bff1e),51.533392,-0.091246,451(c1deaa8df5910fd109d7e3005503abbdb8810d899bfcb8432433af48d6157aa7),51.532452,-0.088734,202.77158872576584
35,451(c1deaa8df5910fd109d7e3005503abbdb8810d899bfcb8432433af48d6157aa7),51.532452,-0.088734,472(cc6d9c8137d0c0181716d238c7e25845ff414ff33c92b86c117de8a0a2c0951a),51.530061,-0.069615,1348.977387922291
36,472(cc6d9c8137d0c0181716d238c7e25845ff414ff33c92b86c117de8a0a2c0951a),51.530061,-0.069615,214(60f62ec81fe1027b07b05ca367a52c58fe789b7ec2f17afe6234ee59fba71eab),51.529254,-0.05614,936.4479948803768
37,214(60f62ec81fe1027b07b05ca367a52c58fe789b7ec2f17afe6234ee59fba71eab),51.529254,-0.05614,531(e5f1290c65f22c4576767183fe595f0e47e944370eb95fde607e5c8677715ede),51.521582,-0.050053,951.3631505907039
38,531(e5f1290c65f22c4576767183fe595f0e47e944370eb95fde607e5c8677715ede),51.521582,-0.050053,227(680b665f285e9b955d978ba6e54b10f8562b658228ad2a1b176d5da1c603ce3f),51.518735,-0.057886,627.6486799038853
39,227(680b665f285e9b955d978ba6e54b10f8562b658228ad2a1b176d5da1c603ce3f),51.518735,-0.057886,465(c9efc72e3621d1609bb55f0eec112dd79d6a9b08024c12532aa914f8ba6bb937),51.517182,-0.054824,273.329588191602
40,465(c9efc72e3621d1609bb55f0eec112dd79d6a9b08024c12532aa914f8ba6bb937),51.517182,-0.054824,269(7b53ece30d1d07f3ae731e8af49e56fdc200a55e68f5447d3e1440171de5b793),51.509785,-0.068095,1232.8394678906427
41,269(7b53ece30d1d07f3ae731e8af49e56fdc200a55e68f5447d3e1440171de5b793),51.509785,-0.068095,31(e6299675de5708c3807d9c505cf6e088c3acad78b0e0cf9c8e4f804c2b9db58),51.518422,-0.073278,1025.1761315198282
42,31(e6299675de5708c3807d9c505cf6e088c3acad78b0e0cf9c8e4f804c2b9db58),51.518422,-0.073278,55(1a073ab5cdd7e91eb0e5ffdfad02639a1f8b1eedff83df2333366773e5102057),51.519775,-0.071852,179.91498280908542
43,55(1a073ab5cdd7e91eb0e5ffdfad02639a1f8b1eedff83df2333366773e5102057),51.519775,-0.071852,345(990ed1ececc7011452b9b9d4fb453a22ef8b10f21b027f86353c49af60e29943),51.526132,-0.080594,930.3051227398756
44,345(990ed1ececc7011452b9b9d4fb453a22ef8b10f21b027f86353c49af60e29943),51.526132,-0.080594,172(4d485381e4bc29464b7e3363ac67cf05b8c66b36914237a955b225fb35cae1e1),51.524979,-0.083237,223.31656426309115
45,172(4d485381e4bc29464b7e3363ac67cf05b8c66b36914237a955b225fb35cae1e1),51.524979,-0.083237,192(540246be30f9025dd77432ce12863e2da0a850d5c431b688716e81cc292b5bfd),51.52166,-0.09093,647.6745403252747
46,192(540246be30f9025dd77432ce12863e2da0a850d5c431b688716e81cc292b5bfd),51.52166,-0.09093,521(e193513a6a46e5526197dff3dc72f462a7b75bd9447f6577f0acccfbc9f0ad98),51.526563,-0.092656,558.1127193665137
47,521(e193513a6a46e5526197dff3dc72f462a7b75bd9447f6577f0acccfbc9f0ad98),51.526563,-0.092656,119(350e2e580a316007b2563c26495ff7d106b18f87b37342c34501a0499431b369),51.526984,-0.089842,200.2214556323659
48,119(350e2e580a316007b2563c26495ff7d106b18f87b37342c34501a0499431b369),51.526984,-0.089842,156(4476543ebe8284a7253e9a6266e34f3c49fe398f6553cba0b1f100380b6b50c4),51.527008,-0.096819,482.67246681459574
49,156(4476543ebe8284a7253e9a6266e34f3c49fe398f6553cba0b1f100380b6b50c4),51.527008,-0.096819,307(89b8425140989ce3c1e98ca8cc00f89ba4afdb389940e28b7ece42689f4b51e0),51.52355,-0.099284,420.6320218746459
50,307(89b8425140989ce3c1e98ca8cc00f89ba4afdb389940e28b7ece42689f4b51e0),51.52355,-0.099284,169(4d06ccce0bd66293dc8ae9f03f69c75a4ccdbab950cad5178e4990d4ef1d3daf),51.5194,-0.107917,754.791416443347
51,169(4d06ccce0bd66293dc8ae9f03f69c75a4ccdbab950cad5178e4990d4ef1d3daf),51.5194,-0.107917,262(793598381f091a67be5519aab00a0b3e2519f4d5b94635fa367058fa69809e85),51.522758,-0.105962,397.1375064121417
52,262(793598381f091a67be5519aab00a0b3e2519f4d5b94635fa367058fa69809e85),51.522758,-0.105962,288(83a96a09d45df6496426a08d01e376ed2d8353a10929ae963fda8f9f79384393),51.528176,-0.102854,639.6743386196066
53,288(83a96a09d45df6496426a08d01e376ed2d8353a10929ae963fda8f9f79384393),51.528176,-0.102854,124(38b586341e1b6d257a0f58e11bed841d388ffcf35d3f8bda62427fc5aea647af),51.530455,-0.106464,355.782107188145
54,124(38b586341e1b6d257a0f58e11bed841d388ffcf35d3f8bda62427fc5aea647af),51.530455,-0.106464,237(6c3f87c1c0a74e52655952bdc73c7e70a43b52dcad5b91b1d8cbf61d03cafcc4),51.529674,-0.115479,629.6285996485508
55,237(6c3f87c1c0a74e52655952bdc73c7e70a43b52dcad5b91b1d8cbf61d03cafcc4),51.529674,-0.115479,511(dd28629687f659e6df2e7acffd379f0d814335f60129ee9f7d28bc5ed8be8c5b),51.529849,-0.123588,561.2795810367069
56,511(dd28629687f659e6df2e7acffd379f0d814335f60129ee9f7d28bc5ed8be8c5b),51.529849,-0.123588,458(c432564feea6c173201e0159e63a8ef41f6baafcdc539777caf5a6d850b0d210),51.528633,-0.125729,200.5440778843393
57,458(c432564feea6c173201e0159e63a8ef41f6baafcdc539777caf5a6d850b0d210),51.528633,-0.125729,230(68fe8858372f760a97b9ae1700f5387a924f5ef2a0ec84057d914808b0a46e26),51.528645,-0.128136,166.5142967334046
58,230(68fe8858372f760a97b9ae1700f5387a924f5ef2a0ec84057d914808b0a46e26),51.528645,-0.128136,190(5377ec4071bedd8d17004083a1f5cbec36973a15dc625c5e03ff2338fd936aca),51.525296,-0.131609,443.17120645637226
59,190(5377ec4071bedd8d17004083a1f5cbec36973a15dc625c5e03ff2338fd936aca),51.525296,-0.131609,185(50977127f4c0442fb0e651ff621eb81ff1fd0162dd147b0424613472eae3361b),51.529035,-0.140778,758.4169487284802
60,185(50977127f4c0442fb0e651ff621eb81ff1fd0162dd147b0424613472eae3361b),51.529035,-0.140778,181(4f37cc68aedabd97a444ead2f6c49edaa5c4962574e9e96c6f30ac4262a96dd4),51.530394,-0.143693,251.98522894050978
61,181(4f37cc68aedabd97a444ead2f6c49edaa5c4962574e9e96c6f30ac4262a96dd4),51.530394,-0.143693,364(a0be98ae845886d74256241b07f7d94fac4daa36123fabce70d156d604329847),51.527637,-0.142205,323.3840507346608
62,364(a0be98ae845886d74256241b07f7d94fac4daa36123fabce70d156d604329847),51.527637,-0.142205,421(b77d51752f8139c08f87579bf944201cf8001a921634880396d5cfbf2397fcd4),51.523786,-0.138152,511.84474890592304
63,421(b77d51752f8139c08f87579bf944201cf8001a921634880396d5cfbf2397fcd4),51.523786,-0.138152,435(bccb2ce157357ec1c409c3bfb4ed00afc0f67be52c05d6dddf37450f2c757bc7),51.521028,-0.14171,393.2522030916084
64,435(bccb2ce157357ec1c409c3bfb4ed00afc0f67be52c05d6dddf37450f2c757bc7),51.521028,-0.14171,30(e001473c7e564bffc65a6b850ed48b7b760c3a07c51fc1508addd2cab768ff5),51.519946,-0.142662,137.16349423640287
65,30(e001473c7e564bffc65a6b850ed48b7b760c3a07c51fc1508addd2cab768ff5),51.519946,-0.142662,492(d7cfb732eea487274bbbf16f782b3ec14b7f7315a140712b829e2fc9fc81f4d0),51.517684,-0.151474,659.5611792416854
66,492(d7cfb732eea487274bbbf16f782b3ec14b7f7315a140712b829e2fc9fc81f4d0),51.517684,-0.151474,56(1aa2013e02300b9bf6ee05670aaa9806dce694c6941d28d90a2af77a2dde0a06),51.525009,-0.164973,1239.239157754462
67,56(1aa2013e02300b9bf6ee05670aaa9806dce694c6941d28d90a2af77a2dde0a06),51.525009,-0.164973,568(f75d6cafe891e3a57204513e2b125c120cf27ae6aee0b302d4ed0bb0b4e9302e),51.525009,-0.164973,0.0
68,568(f75d6cafe891e3a57204513e2b125c120cf27ae6aee0b302d4ed0bb0b4e9302e),51.525009,-0.164973,300(87987ab287e06a80418125cb98e037c66a4fb1196732e23a253de4cb412f4d9e),51.522669,-0.165413,261.9707695809651
69,300(87987ab287e06a80418125cb98e037c66a4fb1196732e23a253de4cb412f4d9e),51.522669,-0.165413,516(df6c97b7f2411158fd07f65e7592c79a544f5b6077a9108e591c178f0475291f),51.51335,-0.159461,1115.0665355497586
70,516(df6c97b7f2411158fd07f65e7592c79a544f5b6077a9108e591c178f0475291f),51.51335,-0.159461,481(d398fae4ebbea0039605a5bb7c34206de400b860dfe1ed130b3d94bcd48a4cdd),51.514052,-0.154345,362.52889775422295
71,481(d398fae4ebbea0039605a5bb7c34206de400b860dfe1ed130b3d94bcd48a4cdd),51.514052,-0.154345,39(10e53327cb2ee72f7f6058fa83b1c0190acb0497d55c9e639a21b044f25ae31c),51.509097,-0.146936,752.6320442905846
72,39(10e53327cb2ee72f7f6058fa83b1c0190acb0497d55c9e639a21b044f25ae31c),51.509097,-0.146936,431(baebe2ced20e0abf0316e05895012854cca56971f43bf305a9359490b903b420),51.512336,-0.14705,360.2467639715176
73,431(baebe2ced20e0abf0316e05895012854cca56971f43bf305a9359490b903b420),51.512336,-0.14705,116(334c78ae034f45396b507d54f6eda218858d022970388f325e5cee3fe6944dd1),51.514195,-0.145735,225.85460456692428
74,116(334c78ae034f45396b507d54f6eda218858d022970388f325e5cee3fe6944dd1),51.514195,-0.145735,108(30242a210964ba37a9a1cf24ca0211f77c1fdaea34975f0ce4593865d207c283),51.513827,-0.142363,236.90044517262677
