Sequence, Start Point, Lat , Long , End Point, Lat, Long, Distance(mtr)
71,559(90125),51.496827,-0.16782,297(a38d8),51.492965,-0.176243,724.1758872450647
72,297(a38d8),51.492965,-0.176243,441(7d2d7),51.50062,-0.193474,1465.3875100442776
73,441(7d2d7),51.50062,-0.193474,291(d24e7),51.501376,-0.189797,268.04124406576796
74,291(d24e7),51.501376,-0.189797,206(3f4fb),51.505474,-0.192517,493.03677669152984
75,206(3f4fb),51.505474,-0.192517,205(116db),51.513647,-0.18196,1166.0605797330966
76,205(116db),51.513647,-0.18196,468(67e12),51.515267,-0.181478,183.19761933999456
77,468(67e12),51.515267,-0.181478,93(3f884),51.517255,-0.20077,1353.103723326378
78,93(3f884),51.517255,-0.20077,433(5f5cc),51.51525,-0.206081,429.83742094290324
79,433(5f5cc),51.51525,-0.206081,469(4fa0b),51.51742,-0.234721,1996.399068398132
80,469(4fa0b),51.51742,-0.234721,378(2cc86),51.514824,-0.241494,550.4289801208427
81,378(2cc86),51.514824,-0.241494,388(e269e),51.504937,-0.233993,1215.7800247392602
82,388(e269e),51.504937,-0.233993,216(1a5df),51.507942,-0.23052,411.61531292631173
83,216(1a5df),51.507942,-0.23052,390(95ba0),51.503176,-0.219826,910.3182870699759
84,390(95ba0),51.503176,-0.219826,20(31a00),51.480916,-0.23688,2742.379199054995
85,20(31a00),51.480916,-0.23688,154(5f5b4),51.489693,-0.220797,1480.7664921293187
86,154(5f5b4),51.489693,-0.220797,442(3f894),51.490054,-0.204348,1139.5676825486037
87,442(3f894),51.490054,-0.204348,27(7ac7b),51.485038,-0.203292,562.5258328972642
88,27(7ac7b),51.485038,-0.203292,148(e924d),51.487984,-0.194289,704.2065417265728
89,148(e924d),51.487984,-0.194289,337(aa7ba),51.489064,-0.191437,231.11630375661045
90,337(aa7ba),51.489064,-0.191437,357(4b986),51.490506,-0.185834,419.76062072920547
91,357(4b986),51.490506,-0.185834,420(ccae0),51.482585,-0.177824,1040.8494388540873
92,420(ccae0),51.482585,-0.177824,110(7a813),51.44431,-0.21682,5040.976006370605
93,110(7a813),51.44431,-0.21682,66(ceae0),51.44936,-0.215976,564.5723719654459
94,66(ceae0),51.44936,-0.215976,10(f5d8a),51.456633,-0.195253,1648.0102107652804
95,10(f5d8a),51.456633,-0.195253,369(1a8db),51.459749,-0.198469,411.94446165077255
96,369(1a8db),51.459749,-0.198469,225(4dd65),51.47611,-0.198156,1819.3893846729968
97,225(4dd65),51.47611,-0.198156,563(15c85),51.475383,-0.185383,888.3094150850058
98,563(15c85),51.475383,-0.185383,170(22e48),51.46891,-0.173905,1072.4193039672448
99,170(22e48),51.46891,-0.173905,555(395c9),51.462958,-0.169349,733.231090655085
100,555(395c9),51.462958,-0.169349,180(22e22),51.468986,-0.167855,678.2256536845
101,180(22e22),51.468986,-0.167855,76(c232d),51.473158,-0.168955,470.12031404522514
102,76(c232d),51.473158,-0.168955,113(dc716),51.47597,-0.152167,1204.0309756740642
103,113(dc716),51.47597,-0.152167,464(9410e),51.481028,-0.143293,833.063672752665
104,464(9410e),51.481028,-0.143293,67(c2856),51.475576,-0.138028,707.4374605900306
105,67(c2856),51.475576,-0.138028,239(5042a),51.464088,-0.136062,1284.6453856815456
106,239(5042a),51.464088,-0.136062,4(0e16a),51.46327,-0.134987,117.55522555667702
107,4(0e16a),51.46327,-0.134987,177(31fc0),51.462029,-0.137787,238.052040801969
108,177(31fc0),51.462029,-0.137787,430(f068b),51.454757,-0.142531,872.8579118547401
109,430(f068b),51.454757,-0.142531,524(0c7b9),51.453122,-0.142036,185.01078737985242
110,524(0c7b9),51.453122,-0.142036,371(7cb4d),51.446032,-0.135589,906.1584306167199
111,371(7cb4d),51.446032,-0.135589,164(d70ae),51.44613,-0.124835,745.3569398881872
112,164(d70ae),51.44613,-0.124835,484(144e9),51.436987,-0.128346,1045.3728575757998
